ID,present,WC_alt,WC_bio1,WC_bio4,WC_bio12,ER_minTempWarmest,lon,lat
29,1,1782,10.800000190734863,71.81999969482422,364,125,-113.062737,35.51003
30,1,1758,11.100000381469727,72.25,353,130,-113.155859,35.59973
31,1,1586,12,73.01000213623047,316,135,-113.079808,35.453492
32,1,1594,11.699999809265137,72.29000091552734,327,129,-112.959996,35.280546
33,1,1612,11.899999618530273,72.69999694824219,323,135,-113.109764,35.47658
34,1,1679,11.199999809265137,72.12999725341797,342,125,-112.87863,35.368429
35,1,1607,11.600000381469727,72.339996337890625,330,127,-112.843908,35.290168
36,1,1586,12,73.01000213623047,316,135,-113.022995,35.470591
37,1,1782,10.800000190734863,71.81999969482422,364,125,-113.067579,35.563981
38,1,1586,12,73.01000213623047,316,135,-113.017684,35.498099
39,1,777,8.899999618530273,103.61000061035156,406,156,-102.294745,43.66793
40,1,1588,10,84.88999938964844,387,148,-104.824107,39.867198
41,1,1247,7.800000190734863,92.160003662109375,433,128,-103.517833,43.448163
42,1,146,7.900000095367432,94.93000030517578,781,157,-79.1828,43.8203
43,1,1612,11.899999618530273,72.69999694824219,323,135,-113.130092,35.45374
44,1,803,8.600000381469727,103.62000274658203,474,154,-100.9827,43.2955
45,1,146,7.900000095367432,94.93000030517578,781,157,-79.1828,43.8203
46,1,823,8.300000190734863,103.77999877929688,486,152,-100.827654,43.268789
47,1,146,7.900000095367432,94.93000030517578,781,157,-79.1828,43.8203
48,1,146,7.900000095367432,94.93000030517578,781,157,-79.1828,43.8203
49,1,146,7.900000095367432,94.93000030517578,781,157,-79.1828,43.8203
50,1,771,6.699999809265137,104.12999725341797,326,124,-108.184507,47.632465
51,1,1990,5.800000190734863,81.089996337890625,352,92,-105.375608,41.764614
52,1,146,7.900000095367432,94.93000030517578,781,157,-79.1828,43.8203
53,1,1303,16.100000381469727,69.37999725341797,328,185,-104.4858,32.2028
54,1,246,6.5,99.88999938964844,765,145,-87.827293,44.347794
55,1,770,10,79.12999725341797,1117,142,-79.766591,38.036175
56,1,3094,0.4000000059604645,82.55000305175781,568,39,-106.61122,38.13215
57,1,1990,5.800000190734863,81.089996337890625,352,92,-105.376986,41.762446
58,1,2838,2,83.66999816894531,364,55,-105.873904,38.715216
59,1,1446,8.600000381469727,90.61000061035156,385,132,-103.679323,40.897696
60,1,2891,-1.399999976158142,74.1500015258789,617,14,-109.532366,44.406029
61,1,2076,4.099999904632568,77.11000061035156,362,66,-109.121749,44.153165
62,1,1830,6.099999904632568,96.75,238,118,-107.658141,42.990348
63,1,1830,6.099999904632568,96.75,238,118,-107.658141,42.990348
64,1,1830,6.099999904632568,96.75,238,118,-107.658141,42.990348
65,1,1906,5,80.63999938964844,326,80,-108.998846,44.163681
66,1,1830,6.099999904632568,96.75,238,118,-107.658141,42.990348
67,1,1830,6.099999904632568,96.75,238,118,-107.658141,42.990348
68,1,1830,6.099999904632568,96.75,238,118,-107.658141,42.990348
69,1,2205,3.299999952316284,75.94000244140625,389,57,-109.22611,44.160192
70,1,2076,4.099999904632568,77.11000061035156,362,66,-109.116836,44.150383
71,1,1830,6.099999904632568,96.75,238,118,-107.658141,42.990348
72,1,1830,6.099999904632568,96.75,238,118,-107.658141,42.990348
73,1,1830,6.099999904632568,96.75,238,118,-107.658141,42.990348
74,1,1558,6.199999809265137,92.80000305175781,457,123,-104.383151,44.186749
75,1,2076,4.099999904632568,77.11000061035156,362,66,-109.14559,44.147539
76,1,1974,4.599999904632568,78.910003662109375,343,74,-109.072709,44.157042
77,1,1921,5.699999809265137,94.87999725341797,250,115,-107.569704,42.990373
78,1,2076,4.099999904632568,77.11000061035156,362,66,-109.133898,44.142393
79,1,1872,5.199999809265137,82.19999694824219,317,86,-108.876566,44.157176
80,1,2076,4.099999904632568,77.11000061035156,362,66,-109.135231,44.147998
81,1,2076,4.099999904632568,77.11000061035156,362,66,-109.135118,44.140439
82,1,2076,4.099999904632568,77.11000061035156,362,66,-109.14562,44.147463
83,1,2205,3.299999952316284,75.94000244140625,389,57,-109.196621,44.154455
84,1,2223,3.200000047683716,76.43000030517578,406,57,-109.163725,44.172279
85,1,2205,3.299999952316284,75.94000244140625,389,57,-109.197519,44.161825
86,1,2076,4.099999904632568,77.11000061035156,362,66,-109.135018,44.132861
87,1,2076,4.099999904632568,77.11000061035156,362,66,-109.145441,44.14008
88,1,2205,3.299999952316284,75.94000244140625,389,57,-109.196605,44.154482
89,1,2066,5.199999809265137,93.62000274658203,211,98,-107.921828,41.835039
90,1,1974,4.599999904632568,78.910003662109375,343,74,-109.062818,44.095534
91,1,1978,6.400000095367432,89.69000244140625,283,112,-106.812023,41.947311
92,1,1434,7.5,94.529998779296875,335,125,-105.292765,43.483491
93,1,2106,4.199999809265137,88.55999755859375,261,78,-110.646506,41.384474
94,1,2106,4.199999809265137,88.55999755859375,261,78,-110.665508,41.377049
95,1,2115,5.699999809265137,84.9800033569336,304,96,-106.487352,41.988794
96,1,2115,5.699999809265137,84.9800033569336,304,96,-106.457534,41.959905
97,1,661,9,104.80000305175781,467,158,-100.759483,43.575618
98,1,2031,5.599999904632568,85.05999755859375,290,89,-106.102213,41.834924
99,1,2131,4,87.81999969482422,270,74,-110.675148,41.391498
100,1,901,11.399999618530273,95.839996337890625,507,176,-100.703354,39.127197
101,1,1392,18.600000381469727,56.599998474121094,348,170,-104.82347,27.03037
102,1,1668,12.399999618530273,80.81999969482422,243,155,-106.8772,34.87925
103,1,1668,12.399999618530273,80.81999969482422,243,155,-106.8772,34.87925
104,1,1668,12.399999618530273,80.81999969482422,243,155,-106.8772,34.87925
105,1,661,9,104.80000305175781,467,158,-100.759483,43.575618
106,1,661,9,104.80000305175781,467,158,-100.759483,43.575618
107,1,1668,12.399999618530273,80.81999969482422,243,155,-106.8772,34.87925
108,1,1668,12.399999618530273,80.81999969482422,243,155,-106.8772,34.87925
109,1,1668,12.399999618530273,80.81999969482422,243,155,-106.8772,34.87925
110,1,1668,12.399999618530273,80.81999969482422,243,155,-106.8772,34.87925
111,1,661,9,104.80000305175781,467,158,-100.759483,43.575618
112,1,661,9,104.80000305175781,467,158,-100.759483,43.575618
113,1,689,4.900000095367432,107.9800033569336,326,117,-110.633333,50.126389
114,1,849,8.100000381469727,103.75,493,151,-100.7375753618366,43.18110067980109
115,1,1668,12.399999618530273,80.81999969482422,243,155,-106.8772,34.87925
116,1,1668,12.399999618530273,80.81999969482422,243,155,-106.8772,34.87925
117,1,1668,12.399999618530273,80.81999969482422,243,155,-106.8772,34.87925
118,1,818,6.699999809265137,108.45999908447266,419,139,-102.46244790985149,45.49197578532571
119,1,1578,12.800000190734863,82.0199966430664,228,160,-106.758314,34.892364
120,1,957,7.5,101.33000183105469,423,140,-103.771556,44.967243
121,1,957,7.5,101.33000183105469,423,140,-103.771556,44.967243
122,1,957,7.5,101.33000183105469,423,140,-103.771556,44.967243
123,1,537,8.199999809265137,111.66999816894531,485,157,-99.8006,43.87602
124,1,1809,9.399999618530273,81.160003662109375,402,133,-104.77182533383345,38.73995755735545
125,1,1112,6.599999904632568,99.4800033569336,370,125,-104.938,45.3033
126,1,2594,3.700000047683716,82.5,307,65,-106.132963,38.836872
127,1,2134,7.300000190734863,81.4000015258789,480,98,-107.87986024686533,37.275222251434656
128,1,2134,7.300000190734863,81.4000015258789,480,98,-107.87986024686533,37.275222251434656
129,1,2091,4.800000190734863,91.0999984741211,374,81,-107.55842779495667,40.833734170948944
130,1,1630,10.100000381469727,83.220001220703125,410,148,-104.922203,39.717785
131,1,1845,10.300000190734863,89.160003662109375,315,150,-109.47963230590126,37.59503726182822
132,1,1430,9.300000190734863,91.4800033569336,345,137,-104.219363,40.497069
133,1,1036,11.699999809265137,95.36000061035156,388,169,-102.008793,38.04168
134,1,1036,11.699999809265137,95.36000061035156,388,169,-102.00856967764514,38.04166811894472
135,1,1140,10.300000190734863,90.2300033569336,450,157,-102.22278,40.07583
136,1,1014,6.5,103.66000366210938,359,131,-104.48430772180225,45.49456487280291
137,1,1140,10.300000190734863,90.2300033569336,450,157,-102.22278,40.07583
138,1,731,3.5999999046325684,111.47000122070312,352,110,-108.6,50.4
139,1,NA,NA,NA,NA,NA,-105.94343,50.62303
140,1,1000,15.5,78.660003662109375,461,193,-101.9209,33.577
141,1,1036,11.699999809265137,95.36000061035156,388,169,-102.00856967764514,38.04166811894472
142,1,856,3.799999952316284,110.52999877929688,327,102,-107.417,49.183
143,1,2171,7.599999904632568,71.11000061035156,542,99,-111.62009384885849,35.204979057092096
144,1,2239,7.300000190734863,68.4800033569336,567,95,-111.91690214803286,35.315774453458054
145,1,1687,9.800000190734863,83.48999786376953,409,145,-104.79742,39.741067
146,1,472,12.300000190734863,101.4000015258789,663,194,-98.48138043966405,39.03506524379341
147,1,1959,10.5,80.470001220703125,347,138,-106.03812698390765,35.604850799475905
148,1,2633,4.400000095367432,73.98999786376953,483,58,-105.298898,36.430032
149,1,1445,12,83.79000091552734,396,160,-103.067931,37.03637
150,1,354,16.100000381469727,85.44999694824219,893,212,-97.388122,35.211761
151,1,1542,13.399999618530273,83.80000305175781,222,172,-106.6506,35.0844
152,1,1445,12,83.79000091552734,396,160,-103.067931,37.03637
153,1,1445,12,83.79000091552734,396,160,-103.067931,37.03637
154,1,1445,12,83.79000091552734,396,160,-103.067931,37.03637
155,1,1530,8.5,89.61000061035156,357,126,-104.22472,40.798931
156,1,1530,8.5,89.61000061035156,357,126,-104.22472,40.798931
157,1,1456,9.5,90.839996337890625,365,142,-103.731861,39.790664
158,1,817,6.400000095367432,105.83999633789062,318,121,-106.90990162216875,47.2631443699132
159,1,1456,9.5,90.839996337890625,365,142,-103.731861,39.790664
160,1,1456,9.5,90.839996337890625,365,142,-103.731861,39.790664
161,1,2284,7.300000190734863,68.30000305175781,411,82,-108.75,34
162,1,1650,9.800000190734863,82.29000091552734,404,143,-105.064706,39.856097
163,1,1655,9.899999618530273,83.01000213623047,420,144,-105.013707,39.596666
164,1,817,6.400000095367432,105.83999633789062,318,121,-106.910027,47.320801
165,1,817,6.400000095367432,105.83999633789062,318,121,-106.910027,47.320801
166,1,817,6.400000095367432,105.83999633789062,318,121,-106.910027,47.320801
167,1,817,6.400000095367432,105.83999633789062,318,121,-106.910027,47.320801
168,1,1546,10,86.01000213623047,379,148,-104.77472,39.94444
169,1,731,11.800000190734863,97.589996337890625,531,182,-100.11362441651603,38.89926086110298
170,1,1456,9.5,90.839996337890625,365,142,-103.731861,39.790664
171,1,1456,9.5,90.839996337890625,365,142,-103.731861,39.790664
172,1,1456,9.5,90.839996337890625,365,142,-103.731861,39.790664
173,1,1163,7.300000190734863,97.88999938964844,361,126,-106.125,44.653
174,1,1586,10.199999809265137,83.87999725341797,395,150,-104.92632,39.75646
175,1,NA,NA,NA,NA,NA,-113.050827,50.866669
176,1,1126,8.5,97.089996337890625,440,149,-101.937,41.46
177,1,484,13.600000381469727,97.0199966430664,727,201,-98.11346163793641,37.64579225734044
178,1,2392,3,88.83000183105469,397,55,-106.346771,40.084884
179,1,2599,3.299999952316284,73.69000244140625,471,61,-105.461144,40.666417
180,1,NA,NA,NA,NA,NA,-98.833333,26.4
181,1,632,9.800000190734863,102.7300033569336,641,173,-98.844801,40.748347
182,1,2190,5.099999904632568,82.30999755859375,329,87,-105.59056,41.31139
183,1,228,9,101.70999908447266,927,165,-88.305352,41.887528
184,1,2076,4.099999904632568,77.11000061035156,362,66,-109.155641,44.131849
185,1,1753,6.400000095367432,96.470001220703125,274,116,-108.733333,42.833333
186,1,779,3.5,110.08999633789062,340,102,-109.466667,49.916667
187,1,NA,NA,NA,NA,NA,-114.099998,39
